    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
    0,             0,               0,              1,         0,           0,         40,             0,               0,              0,        2,          0,         1
    1,             0,               0,              0,         0,           0,          0,             0,               0,              0,        2,          0,         1
    2,             1,               1,              0,         2,           2,         42,             1,               1,              7,        7,          1,         1
    3,             3,               3,              1,         5,           3,         12,             3,               1,              0,       13,          3,         1
    4,             4,               3,              1,         8,           5,          3,             6,               1,              0,       27,          7,         1
    5,             5,               3,              2,        12,           7,         11,            10,               1,              1,       40,         11,         8
    6,             7,               4,              1,        14,           7,         12,            15,               2,              1,       51,         14,         2
    7,            10,               6,              1,        16,           9,         11,            21,               2,              0,       59,         16,         2
    8,            11,               6,              2,        23,          11,          3,            28,               2,              1,       75,         20,         3
    9,            12,               6,              2,        31,          13,          2,            36,               2,              1,       91,         24,         3
   10,            13,               6,              3,        40,          15,          2,            45,               2,              2,      111,         30,         3
   11,            15,               7,              2,        42,          15,          4,            55,               3,              2,      125,         33,         4
   12,            16,               7,              3,        53,          17,          6,            66,               3,              2,      146,         39,         3
   13,            18,               8,              2,        55,          17,          5,            78,               4,              2,      164,         44,         3
   14,            19,               8,              1,        68,          19,          1,            91,               4,              1,      180,         48,         4
   15,            20,               8,              1,        82,          21,          1,           105,               4,              1,      196,         52,         2
   16,            22,               9,              1,        84,          21,          1,           120,               5,              2,      216,         57,         3
   17,            25,              11,              1,        86,          23,          1,           136,               5,              1,      238,         63,         2
   18,            26,              11,              2,       103,          25,          1,           153,               5,              2,      255,         67,         5
   19,            27,              11,              2,       121,          27,          1,           171,               5,              8,      277,         73,         3
   20,            29,              12,              2,       123,          27,          2,           190,               6,              4,      302,         80,         6
   21,            30,              12,              2,       143,          29,          3,           210,               6,              4,      320,         84,         5
   22,            31,              12,              3,       164,          31,          5,           231,               6,              4,      338,         88,         4
   23,            33,              13,             11,       166,          31,          4,           253,               7,              5,      362,         95,         7
   24,            34,              13,              3,       189,          33,          4,           276,               7,              4,      385,        101,         5
   25,            35,              13,              3,       213,          35,          3,           300,               7,              5,      408,        107,         5
   26,            36,              13,              3,       238,          37,          3,           325,               7,              5,      426,        111,         6
   27,            37,              13,              5,       264,          39,          3,           351,               7,              7,      448,        117,         6
   28,            41,              16,              4,       222,          39,          4,           378,              10,              7,      472,        124,         7
   29,            43,              17,              4,       249,          40,          4,           406,              11,              8,      489,        128,         6
   30,            44,              17,              4,       278,          42,          3,           435,              11,              4,      509,        132,         4
   31,            45,              17,              2,       308,          44,          2,           465,              11,              4,      531,        138,         4
   32,            46,              17,              2,       339,          46,          2,           496,              11,              5,      564,        148,         4
   33,            49,              19,             12,       313,          46,          5,           528,              13,              9,      590,        154,         7
   34,            51,              20,              4,       346,          47,          4,           561,              14,             11,      611,        159,         8
   35,            55,              23,              5,       320,          49,          4,           595,              13,            321,      635,        165,         8
   36,            56,              23,              5,       355,          51,          5,           630,              13,             12,      667,        175,         8
   37,            57,              23,              5,       391,          53,          5,           666,              13,             25,      691,        181,        12
   38,            59,              24,             10,       393,          53,          5,           703,              14,             13,      722,        190,        11
   39,            60,              24,              7,       431,          55,          5,           741,              14,             14,      742,        194,         8
   40,            61,              24,              5,       470,          57,          4,           780,              14,             14,      764,        200,         8
   41,            62,              24,              5,       510,          59,          6,           820,              14,             14,      790,        206,        12
   42,            64,              25,              5,       512,          59,          5,           861,              15,             15,      815,        213,         9
   43,            67,              27,              6,       514,          61,          6,           903,              15,             17,      839,        219,        18
   44,            69,              28,              5,       597,          64,          5,           946,              16,             15,      866,        226,        10
   45,            70,              28,              6,       641,          66,          5,           990,              16,            165,      895,        234,        15
   46,            71,              28,              4,       686,          68,          5,          1035,              16,             63,      917,        238,        18
   47,            73,              29,              6,       688,          68,          6,          1081,              17,             20,      938,        243,        10
   48,            76,              31,              6,       690,          70,          5,          1128,              17,             20,      958,        249,        10
   49,            77,              31,              8,       738,          72,          5,          1176,              17,             20,      983,        255,        10
   50,            78,              31,              6,       787,          74,          6,          1225,              17,             22,     1016,        265,        11
   51,            80,              32,              6,       789,          74,          6,          1275,              18,             23,     1038,        270,        13
   52,            82,              33,             14,       841,          77,          7,          1326,              19,              5,     1066,        277,        11
   53,            83,              33,              7,       893,          79,          5,          1378,              19,              5,     1092,        285,        11
   54,            84,              33,              7,       946,          81,          6,          1431,              19,              6,     1115,        290,        12
   55,            85,              33,              7,      1000,          83,          7,          1485,              19,              7,     1138,        296,        12
   56,            86,              33,              7,      1055,          85,          7,          1540,              19,              6,     1166,        304,        12
   57,            87,              33,              6,      1111,          87,          7,          1596,              19,              6,     1187,        308,        19
   58,            88,              33,              8,      1168,          89,          6,          1653,              19,              7,     1214,        316,        11
   59,            89,              33,             97,      1226,          91,         12,          1711,              19,              7,     1243,        324,        13
   60,            90,              33,              7,      1285,          93,          9,          1770,              19,              6,     1265,        330,        11
   61,            91,              33,             10,      1345,          95,          7,          1830,              19,              6,     1288,        336,        12
   62,            92,              33,              6,      1406,          97,          4,          1891,              19,              5,     1320,        344,         8
   63,            93,              33,              5,      1468,          99,          6,          1953,              19,              5,     1344,        350,         7
   64,            95,              34,              5,      1470,          99,          4,          2016,              20,              5,     1385,        363,         7
   65,            96,              34,              5,      1534,         101,          4,          2080,              20,              5,     1408,        367,         7
   66,            97,              34,              5,      1599,         103,          4,          2145,              20,              9,     1442,        377,         9
   67,            98,              34,              5,      1665,         105,          4,          2211,              20,              5,     1469,        383,         8
   68,            99,              34,              5,      1732,         107,          5,          2278,              20,              5,     1498,        390,         8
   69,           100,              34,              5,      1800,         109,          4,          2346,              20,              5,     1533,        400,      1260
   70,           101,              34,              5,      1869,         111,          6,          2415,              20,              6,     1554,        404,        17
   71,           102,              34,              6,      1939,         113,          5,          2485,              20,              6,     1581,        410,         9
   72,           103,              34,              5,      2010,         115,          5,          2556,              20,              6,     1614,        420,         8
   73,           104,              34,             17,      2082,         117,          9,          2628,              20,              8,     1633,        422,        22
   74,           105,              34,             17,      2155,         119,          9,          2701,              20,              8,     1675,        436,        22
   75,           106,              34,             47,      2229,         121,         10,          2775,              20,              9,     1703,        442,        14
   76,           107,              34,              8,      2304,         123,          9,          2850,              20,              8,     1733,        450,        13
   77,           108,              34,             34,      2380,         125,          9,          2926,              20,              7,     1759,        456,        17
   78,           109,              34,              5,      2457,         127,          6,          3003,              20,              7,     1796,        468,         9
   79,           111,              35,              5,      2459,         127,          6,          3081,              21,              7,     1822,        473,         9
   80,           112,              35,              5,      2538,         129,          5,          3160,              21,              8,     1853,        481,        24
   81,           113,              35,              7,      2618,         131,          5,          3240,              21,              7,     1894,        493,         9
   82,           114,              35,              5,      2699,         133,          6,          3321,              21,              8,     1920,        499,        10
   83,           115,              35,            360,      2781,         135,          9,          3403,              21,             10,     1948,        505,        23
   84,           117,              36,              8,      2783,         135,         10,          3486,              22,             11,     1975,        512,        17
   85,           118,              36,              9,      2867,         137,         12,          3570,              22,             11,     2011,        522,        11
   86,           121,              38,              6,      2871,         140,          6,          3655,              24,              8,     2042,        530,        10
   87,           122,              38,              5,      2957,         142,          7,          3741,              24,              8,     2069,        536,        10
   88,           123,              38,             17,      3044,         144,         10,          3828,              24,             11,     2103,        546,        14
   89,           124,              38,             13,      3132,         146,         10,          3916,              24,             12,     2135,        554,        14
   90,           125,              38,              8,      3221,         148,         11,          4005,              24,             11,     2166,        562,        16
   91,           126,              38,              9,      3311,         150,         10,          4095,              24,             13,     2197,        570,        18
   92,           127,              38,             10,      3402,         152,         12,          4186,              24,             13,     2233,        580,        21
   93,           128,              38,             10,      3494,         154,         16,          4278,              24,             12,     2255,        584,        18
   94,           129,              38,             88,      3587,         156,         16,          4371,              24,             14,     2285,        592,        21
   95,           130,              38,             10,      3681,         158,         14,          4465,              24,             14,     2309,        598,        20
   96,           131,              38,             10,      3776,         160,         11,          4560,              24,             13,     2327,        602,        19
   97,           132,              38,             15,      3872,         162,         13,          4656,              24,             14,     2361,        611,        27
   98,           133,              38,             35,      3969,         164,         15,          4753,              24,             14,     2398,        621,        19
   99,           134,              38,              9,      4067,         166,        876,          4851,              24,             15,     2425,        628,        19
  100,           135,              38,             10,      4166,         168,         28,          4950,              24,             16,     2462,        638,        31
  101,           137,              39,             46,      4168,         168,         12,          5050,              25,             13,     2487,        643,        47
  102,           138,              39,              8,      4269,         170,         13,          5151,              25,             14,     2517,        651,        25
  103,           139,              39,              6,      4371,         172,         92,          5253,              25,             14,     2546,        659,        18
  104,           140,              39,             11,      4474,         174,         13,          5356,              25,             16,     2575,        665,        19
  105,           141,              39,             10,      4578,         176,         15,          5460,              25,             16,     2602,        673,        21
  106,           142,              39,              8,      4683,         178,         15,          5565,              25,             17,     2630,        679,        19
  107,           144,              40,             10,      4685,         178,         15,          5671,              26,             17,     2666,        690,        19
  108,           147,              42,             10,      4687,         180,         11,          5778,              26,             13,     2699,        698,        13
  109,           148,              42,              7,      4795,         182,         10,          5886,              26,             13,     2725,        704,        12
  110,           149,              42,              7,      4904,         184,          8,          5995,              26,             13,     2752,        712,        12
  111,           150,              42,              8,      5014,         186,          9,          6105,              26,             13,     2783,        720,        13
  112,           153,              44,              7,      4909,         186,          8,          6216,              28,             14,     2799,        722,        12
  113,           154,              44,              7,      5021,         188,          8,          6328,              28,             14,     2835,        732,        12
  114,           155,              44,              7,      5134,         190,          8,          6441,              28,             14,     2874,        744,        14
  115,           157,              45,              7,      5136,         190,          8,          6555,              29,             14,     2902,        751,        13
  116,           159,              46,              7,      5252,         193,          8,          6670,              30,             14,     2936,        760,        13
  117,           161,              47,              7,      5255,         193,          8,          6786,              31,             15,     2960,        765,        12
  118,           162,              47,             12,      5372,         195,         10,          6903,              31,             15,     2990,        773,        12
  119,           163,              47,              7,      5490,         197,          8,          7021,              31,             16,     3020,        781,        12
  120,           164,              47,              7,      5609,         199,         10,          7140,              31,             15,     3048,        789,        13
  121,           165,              47,              7,      5729,         201,          9,          7260,              31,             16,     3074,        795,        13
  122,           166,              47,              7,      5850,         203,         10,          7381,              31,             16,     3118,        807,        13
  123,           167,              47,              7,      5972,         205,         10,          7503,              31,             16,     3142,        813,        16
  124,           169,              48,              8,      5974,         205,          9,          7626,              32,             17,     3151,        812,        13
  125,           170,              48,              7,      6098,         207,         10,          7750,              32,             16,     3190,        824,        13
  126,           171,              48,              8,      6223,         209,         10,          7875,              32,             17,     3230,        836,        14
  127,           172,              48,             22,      6349,         211,         21,          8001,              32,             19,     3264,        844,        37
  128,           174,              49,             21,      6351,         211,         24,          8128,              33,             20,     3289,        851,        42
  129,           175,              49,             26,      6479,         213,         19,          8256,              33,             24,     3329,        863,        23
  130,           178,              51,             29,      6483,         216,         18,          8385,              35,             21,     3362,        871,        36
  131,           179,              51,             25,      6613,         218,         16,          8515,              35,             22,     3406,        883,       176
  132,           180,              51,             28,      6744,         220,         20,          8646,              35,             21,     3437,        889,        44
  133,           182,              52,              8,      6746,         220,         12,          8778,              36,             19,     3465,        897,        15
  134,           183,              52,              8,      6879,         222,         10,          8911,              36,             19,     3503,        906,        15
  135,           184,              52,             10,      7013,         224,         10,          9045,              36,             20,     3527,        912,        14
  136,           186,              53,              8,      7015,         224,         10,          9180,              37,             21,     3563,        923,        15
  137,           189,              55,              8,      7017,         226,         10,          9316,              37,             21,     3593,        928,        15
  138,           190,              55,              8,      7154,         228,         11,          9453,              37,             21,     3633,        939,        15
  139,           192,              56,              8,      7156,         228,         10,          9591,              38,             21,     3672,        950,        17
  140,           193,              56,              8,      7295,         230,         16,          9730,              38,             21,     3706,        958,        15
  141,           194,              56,             10,      7435,         232,         12,          9870,              38,             22,     3736,        966,        15
  142,           195,              56,             17,      7576,         234,         18,         10011,              38,             24,     3762,        972,        26
  143,           196,              56,              8,      7718,         236,         11,         10153,              38,             22,     3801,        982,        17
  144,           197,              56,              8,      7861,         238,         11,         10296,              38,             22,     3834,        990,        15
  145,           200,              58,             25,      7723,         238,         11,         10440,              40,             23,     3867,       1000,        16
  146,           204,              61,             10,      7727,         239,         11,         10585,              41,             23,     3902,       1009,        16
  147,           205,              61,              8,      7873,         241,         12,         10731,              41,             23,     3937,       1019,        16
  148,           206,              61,              9,      8020,         243,         16,         10878,              41,             26,     3969,       1025,        17
  149,           207,              61,             15,      8168,         245,         21,         11026,              41,             29,     4004,       1034,        27
  150,           208,              61,             13,      8317,         247,         32,         11175,              41,             29,     4041,       1044,        28
  151,           209,              61,             19,      8467,         249,         26,         11325,              41,             30,     4078,       1054,        29
  152,           210,              61,             14,      8618,         251,         24,         11476,              41,             31,     4087,       1054,        66
  153,           211,              61,             32,      8770,         253,         22,         11628,              41,             30,     4128,       1066,       101
  154,           213,              62,             51,      8772,         253,         24,         11781,              42,             33,     4157,       1073,        46
  155,           214,              62,             15,      8926,         255,         26,         11935,              42,             32,     4206,       1087,        20
  156,           215,              62,             31,      9081,         257,         21,         12090,              42,             54,     4251,       1099,        20
  157,           216,              62,             18,      9237,         259,         43,         12246,              42,             35,     4274,       1103,        22
  158,           217,              62,              4,      9394,         261,         26,         12403,              42,             34,     4320,       1115,        21
  159,           219,              63,              5,      9396,         261,         29,         12561,              43,             33,     4346,       1122,        23
  160,           220,              63,              5,      9555,         263,         26,         12720,              43,             36,     4370,       1128,        22
  161,           224,              66,              5,      9401,         263,         15,         12880,              44,             29,     4399,       1135,        14
  162,           228,              69,              3,      9562,         268,         14,         13041,              45,             30,     4449,       1148,        13
  163,           229,              69,              3,      9724,         270,         15,         13203,              45,             33,     4478,       1156,        13
  164,           230,              69,              3,      9887,         272,         14,         13366,              45,             30,     4518,       1166,        13
  165,           231,              69,              3,     10051,         274,         15,         13530,              45,             30,     4550,       1176,        12
  166,           232,              69,              3,     10216,         276,         15,         13695,              45,             31,     4586,       1184,        12
  167,           233,              69,              3,     10382,         278,         15,         13861,              45,             45,     4617,       1193,        12
  168,           236,              71,              3,     10220,         278,         14,         14028,              46,             31,     4643,       1199,        12
  169,           237,              71,              3,     10388,         280,         14,         14196,              46,             32,     4680,       1207,        13
  170,           238,              71,              3,     10557,         282,         14,         14365,              46,             33,     4715,       1217,        13
  171,           239,              71,              3,     10727,         284,         15,         14535,              46,             33,     4758,       1229,        13
  172,           240,              71,              3,     10898,         286,         17,         14706,              46,             43,     4788,       1237,        24
  173,           241,              71,              6,     11070,         288,         31,         14878,              46,             38,     4817,       1243,        24
  174,           242,              71,              6,     11243,         290,         29,         15051,              46,             43,     4854,       1253,        23
  175,           244,              72,              5,     11245,         290,         25,         15225,              47,             39,     4887,       1262,        28
  176,           247,              74,              6,     11247,         292,         28,         15400,              47,             43,     4931,       1274,        23
  177,           249,              75,              5,     11596,         295,         26,         15576,              48,             41,     4958,       1279,        15
  178,           250,              75,              3,     11773,         297,         17,         15753,              48,             36,     4990,       1289,        14
  179,           251,              75,              3,     11951,         299,         15,         15931,              48,             36,     5025,       1297,        14
  180,           253,              76,              4,     11953,         299,        160,         16110,              49,             43,     5053,       1304,        23
  181,           256,              78,              6,     11955,         301,         35,         16290,              49,             83,     5094,       1314,        24
  182,           259,              80,              5,     12137,         304,         25,         16471,              51,             44,     5126,       1324,        23
  183,           261,              81,              5,     12141,         304,         30,         16653,              52,             47,     5169,       1337,        24
  184,           262,              81,              6,     12324,         306,         26,         16836,              52,             44,     5200,       1341,        25
  185,           263,              81,              6,     12508,         308,         53,         17020,              52,             48,     5239,       1353,        23
  186,           264,              81,              6,     12693,         310,         29,         17205,              52,             48,     5270,       1361,        25
  187,           266,              82,              6,     12695,         310,         33,         17391,              53,             48,     5302,       1368,        24
  188,           268,              83,              6,     12883,         313,         33,         17578,              54,             48,     5336,       1377,        25
  189,           271,              85,              6,     12885,         315,         32,         17766,              54,             44,     5363,       1383,        24
  190,           274,              87,              8,     12889,         315,         30,         17955,              56,             51,     5404,       1395,        25
  191,           275,              87,              6,     13079,         317,         31,         18145,              56,             48,     5437,       1402,        25
  192,           276,              87,              6,     13270,         319,         33,         18336,              56,             49,     5473,       1412,        25
  193,           277,              87,              6,     13462,         321,         31,         18528,              56,             52,     5491,       1414,        25
  194,           278,              87,              5,     13655,         323,         31,         18721,              56,             48,     5528,       1424,        29
  195,           279,              87,              6,     13849,         325,         70,         18915,              56,             81,     5565,       1434,        24
  196,           280,              87,              4,     14044,         327,         40,         19110,              56,             52,     5606,       1446,        27
