   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
   0,             0,               0,              2,         0,           0,          0,             0,               0,              0,        2,          0,         1
   1,             0,               0,              0,         0,           0,          0,             0,               0,              0,        2,          0,         1
   2,             1,               0,              1,         1,           2,         14,             1,               0,              0,        9,          2,         1
   3,             3,               2,              2,         3,           2,         16,             3,               2,             13,       15,          4,         1
   4,             4,               2,              1,         6,           4,          1,             6,               2,              1,       29,          8,        13
   5,             5,               2,              1,        10,           6,          1,            10,               2,              0,       38,         10,         1
   6,             6,               2,              1,        15,           8,          1,            15,               2,              0,       48,         12,         1
   7,             7,               2,              1,        21,          10,          1,            21,               2,              0,       59,         15,         2
   8,             8,               2,              2,        28,          12,          1,            28,               2,              0,       79,         21,         3
   9,             9,               2,              2,        36,          14,          1,            36,               2,              0,       95,         25,         2
  10,            10,               2,              1,        45,          16,          1,            45,               2,              1,      111,         29,         4
  11,            11,               2,              2,        55,          18,          3,            55,               2,              1,      127,         33,         3
  12,            13,               3,              3,        57,          18,          3,            66,               3,              1,      145,         38,         3
  13,            14,               3,              2,        69,          20,          3,            78,               3,              2,      161,         42,         4
  14,            15,               3,              2,        82,          22,          3,            91,               3,              1,      179,         47,         3
  15,            16,               3,              1,        96,          24,          2,           105,               3,              1,      194,         51,         2
  16,            17,               3,              1,       111,          26,          2,           120,               3,              1,      215,         57,         2
  17,            19,               4,              1,       113,          26,          2,           136,               4,              1,      236,         62,         2
  18,            20,               4,              1,       130,          28,          2,           153,               4,              2,      258,         68,         2
  19,            21,               4,              1,       148,          30,          2,           171,               4,              2,      280,         74,         4
  20,            23,               5,              2,       150,          30,          3,           190,               5,              5,      304,         81,         6
  21,            25,               6,              3,       171,          33,         19,           210,               6,              3,      324,         86,         5
  22,            26,               6,              3,       192,          35,         16,           231,               6,              4,      342,         90,         6
  23,            27,               6,              2,       214,          37,          8,           253,               6,              5,      364,         96,         6
  24,            28,               6,              2,       237,          39,         50,           276,               6,              7,      384,        101,         4
  25,            29,               6,              2,       261,          41,          4,           300,               6,              3,      406,        107,         4
  26,            31,               7,              2,       263,          41,          3,           325,               7,              3,      426,        112,         4
  27,            33,               8,              3,       290,          44,          5,           351,               8,              3,      446,        117,         4
  28,            36,              10,              2,       292,          46,          4,           378,               8,              4,      468,        123,         3
  29,            37,              10,              2,       320,          48,          5,           406,               8,              4,      490,        129,         3
  30,            38,              10,              2,       349,          50,          4,           435,               8,              4,      514,        136,         3
  31,            40,              11,              3,       351,          50,          4,           465,               9,              4,      534,        141,         4
  32,            41,              11,              8,       382,          52,          5,           496,               9,              5,      558,        147,         4
  33,            42,              11,              3,       414,          54,          5,           528,               9,              5,      583,        153,         4
  34,            43,              11,              2,       447,          56,          5,           561,               9,              9,      616,        163,         7
  35,            45,              12,              4,       449,          56,         10,           595,              10,             86,      634,        166,         9
  36,            46,              12,              4,       484,          58,         13,           630,              10,             11,      668,        176,         8
  37,            47,              12,              4,       520,          60,         11,           666,              10,             12,      688,        180,         8
  38,            48,              12,              5,       557,          62,         12,           703,              10,             12,      710,        186,         9
  39,            49,              12,              5,       595,          64,         10,           741,              10,             13,      739,        194,         8
  40,            51,              13,              4,       597,          64,         12,           780,              11,             11,      757,        197,         6
  41,            52,              13,              3,       637,          66,          8,           820,              11,              8,      785,        205,        15
  42,            53,              13,              3,       678,          68,         45,           861,              11,              8,      812,        213,         6
  43,            54,              13,              4,       720,          70,          8,           903,              11,             12,      840,        221,         6
  44,            55,              13,              3,       763,          72,          8,           946,              11,              9,      864,        227,         7
  45,            56,              13,              3,       807,          74,          8,           990,              11,             72,      888,        233,         6
  46,            57,              13,              3,       852,          76,         10,          1035,              11,             10,      919,        241,         6
  47,            59,              14,              3,       854,          76,          9,          1081,              12,             10,      939,        246,         7
  48,            61,              15,              7,       902,          79,         18,          1128,              13,             20,      968,        254,        10
  49,            62,              15,              6,       950,          81,         31,          1176,              13,             21,      992,        259,        11
  50,            63,              15,              5,       999,          83,         18,          1225,              13,             21,     1024,        269,        11
  51,            65,              16,              8,      1001,          83,         19,          1275,              14,             21,     1042,        272,        11
  52,            67,              17,              6,      1053,          86,         75,          1326,              15,            121,     1071,        279,        10
  53,            70,              19,              6,      1055,          88,         20,          1378,              15,             24,     1096,        286,        10
  54,            73,              21,              7,      1059,          88,         21,          1431,              17,             25,     1120,        292,        13
  55,            74,              21,              8,      1113,          90,         22,          1485,              17,             29,     1144,        299,        12
  56,            75,              21,              7,      1168,          92,         21,          1540,              17,             27,     1175,        307,        12
  57,            76,              21,              7,      1224,          94,         23,          1596,              17,              5,     1197,        311,        12
  58,            77,              21,              9,      1281,          96,         25,          1653,              17,              5,     1222,        319,        13
  59,            78,              21,              6,      1339,          98,         27,          1711,              17,              5,     1247,        326,        13
  60,            79,              21,              7,      1398,         100,          6,          1770,              17,              6,     1275,        333,        13
  61,            80,              21,              7,      1458,         102,          6,          1830,              17,              6,     1298,        338,        13
  62,            81,              21,              7,      1519,         104,          6,          1891,              17,              6,     1324,        345,        14
  63,            82,              21,              7,      1581,         106,          6,          1953,              17,              6,     1348,        351,        14
  64,            84,              22,              9,      1583,         106,          6,          2016,              18,              6,     1366,        354,        14
  65,            85,              22,              7,      1647,         108,          6,          2080,              18,              6,     1396,        362,        16
  66,            86,              22,              7,      1712,         110,          6,          2145,              18,              7,     1441,        376,        14
  67,            87,              22,              7,      1778,         112,          7,          2211,              18,              6,     1467,        382,        13
  68,            89,              23,              7,      1780,         112,          9,          2278,              19,              6,     1501,        391,        33
  69,            92,              25,             10,      1782,         114,          4,          2346,              19,              4,     1528,        397,         9
  70,            96,              28,              5,      1786,         116,          3,          2415,              20,              4,     1560,        406,         8
  71,           100,              31,              5,      1790,         118,          3,          2485,              21,              5,     1586,        412,        17
  72,           101,              31,              5,      1861,         120,          3,          2556,              21,              5,     1621,        422,        18
  73,           102,              31,              7,      1933,         122,          6,          2628,              21,              7,     1643,        426,        22
  74,           103,              31,             16,      2006,         124,          7,          2701,              21,              6,     1680,        436,        21
  75,           104,              31,             12,      2080,         126,          7,          2775,              21,              8,     1707,        444,        14
  76,           105,              31,              8,      2155,         128,          7,          2850,              21,              8,     1740,        452,        17
  77,           106,              31,              9,      2231,         130,          8,          2926,              21,              7,     1765,        458,        20
  78,           108,              32,              8,      2233,         130,          7,          3003,              22,              7,     1798,        467,        15
  79,           111,              34,              8,      2235,         132,          7,          3081,              22,              8,     1830,        475,        15
  80,           112,              34,             10,      2314,         134,          7,          3160,              22,              8,     1862,        483,        18
  81,           113,              34,              8,      2394,         136,          7,          3240,              22,              8,     1882,        487,        15
  82,           114,              34,              8,      2475,         138,          7,          3321,              22,              9,     1908,        493,        15
  83,           116,              35,             14,      2477,         138,          8,          3403,              23,              9,     1952,        506,        16
  84,           117,              35,             37,      2560,         140,          9,          3486,              23,              9,     1973,        510,        16
  85,           120,              37,             19,      2564,         143,          9,          3570,              25,              8,     1999,        516,        16
  86,           124,              40,              9,      2568,         144,          8,          3655,              26,              9,     2032,        525,        16
  87,           125,              40,              9,      2654,         146,         21,          3741,              26,              7,     2062,        533,        17
  88,           126,              40,              9,      2741,         148,          7,          3828,              26,              9,     2092,        541,        15
  89,           127,              40,             11,      2829,         150,          8,          3916,              26,              9,     2112,        545,        18
  90,           128,              40,              9,      2918,         152,          8,          4005,              26,             10,     2153,        557,        16
  91,           130,              41,             16,      2920,         152,          8,          4095,              27,             10,     2183,        564,        17
