  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
  0,             0,               0,              1,         0,           0,          0,             0,               0,              0,        2,          0,         1
  1,             0,               0,              0,         0,           0,          0,             0,               0,              0,        2,          0,         1
  2,             1,               0,              0,         1,           2,          3,             1,               0,              0,        9,          2,        16
  3,             2,               0,              1,         3,           4,          5,             3,               0,              1,       15,          4,         1
  4,             4,               1,              1,         5,           4,          5,             6,               1,              1,       26,          7,         2
  5,             5,               1,              1,         9,           6,          5,            10,               1,              1,       35,          9,         2
  6,             9,               4,              1,        10,           6,          4,            15,               2,              1,       47,         12,         2
  7,            12,               6,              1,        16,          11,          7,            21,               2,              3,       54,         13,         2
  8,            13,               6,              1,        23,          13,          6,            28,               2,              2,       74,         19,         2
  9,            14,               6,              2,        31,          15,          8,            36,               2,              2,       90,         23,         2
 10,            16,               7,              2,        33,          15,          7,            45,               3,              2,      108,         28,         2
 11,            18,               8,              2,        44,          18,          8,            55,               4,              3,      121,         31,         2
 12,            19,               8,              2,        55,          20,         10,            66,               4,              3,      142,         37,         3
 13,            20,               8,              6,        67,          22,          8,            78,               4,              4,      158,         41,         3
 14,            21,               8,              3,        80,          24,          9,            91,               4,              4,      173,         45,        69
 15,            22,               8,              7,        94,          26,         27,           105,               4,              8,      191,         50,         6
 16,            23,               8,              3,       109,          28,         18,           120,               4,              8,      214,         56,         6
 17,            24,               8,              3,       125,          30,         19,           136,               4,              9,      236,         62,         7
 18,            25,               8,              5,       142,          32,         21,           153,               4,             11,      258,         68,         7
 19,            27,               9,              4,       144,          32,         20,           171,               5,             11,      274,         71,         7
 20,            28,               9,              4,       163,          34,         50,           190,               5,              7,      305,         81,         5
 21,            29,               9,              3,       183,          36,         21,           210,               5,              8,      323,         85,        11
 22,            30,               9,              4,       204,          38,         46,           231,               5,             24,      340,         89,         5
 23,            31,               9,             11,       226,          40,         29,           253,               5,             17,      358,         93,         7
 24,            32,               9,              3,       249,          42,         55,           276,               5,             10,      381,         99,         9
 25,            33,               9,              7,       273,          44,         56,           300,               5,            361,      402,        105,        11
 26,            34,               9,              5,       298,          46,         57,           325,               5,             19,      422,        109,        11
 27,            35,               9,             10,       324,          48,         17,           351,               5,             20,      442,        115,        11
 28,            37,              10,              5,       326,          48,         22,           378,               6,             23,      467,        122,        13
 29,            39,              11,              6,       355,          51,         18,           406,               7,             42,      487,        127,        14
 30,            40,              11,              4,       384,          53,         19,           435,               7,             28,      509,        133,        28
 31,            41,              11,              4,       414,          55,         20,           465,               7,             30,      527,        137,        13
 32,            42,              11,              6,       445,          57,         18,           496,               7,             29,      551,        144,        13
 33,            43,              11,              3,       477,          59,         33,           528,               7,             22,      579,        152,         9
 34,            44,              11,              5,       510,          61,         13,           561,               7,             20,      608,        159,        14
 35,            46,              12,              3,       512,          61,         34,           595,               8,             82,      630,        164,         9
 36,            48,              13,              6,       514,          63,         20,           630,               9,             39,      659,        172,        15
 37,            50,              14,              6,       583,          66,         54,           666,              10,             35,      681,        177,        13
 38,            55,              18,              5,       521,          67,         36,           703,               8,             83,      704,        183,        15
 39,            56,              18,              5,       559,          69,         26,           741,               8,             45,      732,        191,        17
 40,            57,              18,              5,       598,          71,         25,           780,               8,             52,      755,        197,        18
 41,            58,              18,              5,       638,          73,         29,           820,               8,             44,      775,        201,        22
 42,            59,              18,              6,       679,          75,         75,           861,               8,             57,      814,        213,        73
 43,            61,              19,              6,       681,          75,        139,           903,               9,             34,      835,        218,        10
 44,            63,              20,              3,       725,          78,        190,           946,              10,             60,      853,        221,        20
 45,            65,              21,              7,       728,          78,         22,           990,              11,             55,      879,        228,        20
