 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 0,             0,               0,              1,         0,           0,          0,             0,               0,              0,        2,          0,         1
 1,             0,               0,              0,         0,           0,          0,             0,               0,              0,        2,          0,         1
 2,             1,               0,              0,         1,           2,          4,             1,               0,              1,        9,          2,         3
 3,             2,               0,              0,         3,           4,          5,             3,               0,              1,       15,          4,         4
 4,             3,               0,              1,         6,           6,          6,             6,               0,              1,       29,          8,         6
 5,             4,               0,              1,        10,           8,          7,            10,               0,              3,       38,         10,        13
 6,             6,               1,              2,        12,           8,         12,            15,               1,              4,       48,         12,         6
 7,            10,               4,              1,        14,          10,          7,            21,               3,              2,       58,         15,        10
 8,            11,               4,              2,        21,          12,          7,            28,               3,              3,       78,         21,        13
 9,            12,               4,              2,        29,          14,          8,            36,               3,              3,       94,         25,         7
10,            13,               4,              2,        38,          16,         15,            45,               3,              3,      112,         30,         8
