    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
    0,             0,               0,              2,         0,           0,          1,             0,               0,              0,        2,          0,         1
    1,             0,               0,              0,         0,           0,          0,             0,               0,              0,        2,          0,         0
    2,             1,               0,              0,         1,           2,         65,             1,               0,              0,        9,          2,         1
    3,             2,               0,              0,         3,           4,        635,             3,               0,              1,       15,          4,         2
    4,             5,               3,             12,         6,           4,          3,             6,               3,              9,       22,          5,         4
    5,             7,               4,              2,        10,           5,          5,            10,               4,              1,       32,          8,         2
    6,            12,               9,              0,        12,           9,         49,            15,               3,              1,       50,         13,         2
    7,            18,              15,              0,        21,          12,         43,            21,               5,              0,       59,         15,         2
    8,            25,              21,              1,        24,          13,         10,            28,               5,              1,       69,         17,         3
    9,            28,              23,              1,        29,          16,         11,            36,               7,              2,       83,         21,         3
   10,            35,              29,              1,        34,          17,         15,            45,               9,              2,      105,         27,         3
   11,            36,              29,              1,        44,          19,         13,            55,               9,              2,      125,         33,         4
   12,            46,              38,              2,        44,          20,         15,            66,               6,              2,      135,         34,         4
   13,            50,              41,              1,        51,          22,         20,            78,               7,              1,      151,         39,         3
   14,            56,              46,              1,        53,          23,          8,            91,              10,              1,      163,         42,         2
   15,            60,              49,              1,        61,          27,         10,           105,              11,              4,      174,         45,         7
   16,            69,              57,              2,        66,          25,         27,           120,              11,              2,      204,         53,         7
   17,            72,              59,              2,        81,          30,         15,           136,              13,              3,      226,         59,         4
   18,            87,              73,              3,        71,          31,         75,           153,              15,              3,      243,         63,         4
   19,            97,              82,              3,        85,          34,         15,           171,              16,              4,      255,         66,         4
   20,           101,              85,              2,        90,          32,         41,           190,              17,              5,      279,         73,         8
   21,           112,              95,              3,       103,          37,         15,           210,              17,              5,      291,         75,         5
   22,           113,              95,              3,       124,          39,          5,           231,              17,              4,      323,         85,         6
   23,           116,              97,              3,       125,          40,          7,           253,              19,             10,      337,         87,        11
   24,           126,             106,              3,       122,          44,         12,           276,              22,              6,      362,         94,         5
   25,           147,             126,              2,       113,          42,          3,           300,              20,              3,      383,        100,         4
   26,           159,             137,              2,       140,          48,          4,           325,              21,              4,      406,        105,         8
   27,           176,             153,              9,       145,          46,          5,           351,              25,              6,      426,        111,        12
   28,           182,             158,              5,       149,          49,         13,           378,              24,              8,      451,        118,         6
   29,           189,             164,              5,       154,          52,          6,           406,              26,              7,      461,        120,         6
   30,           211,             185,              5,       166,          59,          7,           435,              25,              9,      480,        125,         7
   31,           241,             215,              6,       173,          55,          6,           465,              29,              9,      497,        129,         7
   32,           268,             241,              7,       198,          57,          7,           496,              31,              9,      522,        135,         6
   33,           294,             266,              4,       180,          64,          5,           528,              26,              6,      531,        134,         5
   34,           318,             289,              4,       190,          62,          4,           561,              29,              6,      573,        147,        15
   35,           346,             316,              7,       218,          70,          6,           595,              30,             79,      589,        150,         8
   36,           381,             350,              9,       248,          78,          9,           630,              32,             12,      608,        156,         8
   37,           397,             365,              9,       242,          72,          9,           666,              31,             12,      640,        165,         8
   38,           431,             398,             10,       219,          74,          9,           703,              32,             12,      658,        168,         9
   39,           469,             436,             11,       232,          77,         10,           741,              34,             14,      679,        174,         9
   40,           497,             463,             13,       257,          79,         12,           780,              37,              9,      698,        177,         7
   41,           512,             477,              7,       265,          87,          6,           820,              37,              8,      722,        183,        12
   42,           514,             478,              7,       301,          87,          5,           861,              38,              9,      740,        188,         5
   43,           519,             482,              8,       291,          84,          5,           903,              38,              9,      766,        194,         5
   44,           531,             493,              7,       292,          91,          6,           946,              41,             10,      796,        201,         6
   45,           575,             537,              7,       273,          93,          5,           990,              43,             84,      820,        207,         6
   46,           618,             579,              8,       299,          89,          5,          1035,              43,             11,      846,        213,         6
   47,           633,             593,              8,       306,          98,          6,          1081,              43,             20,      861,        217,         6
   48,           652,             611,              8,       309,         101,          5,          1128,              45,             11,      882,        223,         6
   49,           696,             654,              9,       323,         107,          9,          1176,              42,             18,      899,        226,        17
   50,           723,             680,              9,       332,         111,          7,          1225,              44,             18,      926,        232,        11
   51,           753,             709,             17,       333,         107,         10,          1275,              45,              4,      940,        235,        13
   52,           804,             759,             17,       342,         114,         12,          1326,              47,              4,      971,        243,         7
   53,           855,             809,             11,       354,         114,          8,          1378,              47,              3,      988,        247,         7
   54,           905,             858,             13,       368,         119,          7,          1431,              52,              3,     1022,        258,         7
   55,           927,             879,             12,       385,         121,          8,          1485,              49,              4,     1046,        265,         6
   56,           973,             924,             12,       404,         119,         12,          1540,              52,              5,     1059,        264,        12
   57,          1026,             976,             25,       435,         121,         13,          1596,              54,              6,     1090,        274,        12
   58,          1036,             985,             24,       429,         123,         15,          1653,              53,              7,     1112,        279,        12
   59,          1091,            1039,             31,       441,         129,         16,          1711,              51,              6,     1147,        289,        15
   60,          1134,            1081,             27,       412,         131,         12,          1770,              53,              6,     1177,        295,        12
   61,          1162,            1108,             28,       459,         135,         15,          1830,              58,              6,     1189,        296,        12
   62,          1198,            1143,             30,       427,         136,         13,          1891,              59,              6,     1222,        307,        12
   63,          1216,            1160,             29,       508,         137,         13,          1953,              60,              6,     1246,        312,        13
   64,          1235,            1178,             29,       518,         139,         13,          2016,              60,              7,     1292,        326,        13
   65,          1293,            1235,             30,       506,         144,         14,          2080,              61,              7,     1298,        327,        13
   66,          1350,            1291,             33,       519,         147,         14,          2145,              63,              7,     1325,        333,        15
   67,          1363,            1303,             33,       521,         145,         14,          2211,              61,              7,     1352,        341,        13
   68,          1408,            1347,             36,       550,         145,         15,          2278,              65,              7,     1368,        341,        13
   69,          1430,            1368,             35,       556,         158,         15,          2346,              66,              7,     1402,        352,      1538
   70,          1499,            1436,             35,       539,         161,         16,          2415,              64,             26,     1454,        368,        22
   71,          1529,            1465,             30,       551,         158,         23,          2485,              65,              7,     1457,        367,        14
   72,          1540,            1475,             32,       571,         157,         14,          2556,              67,             14,     1482,        371,        13
   73,          1587,            1521,             34,       560,         175,         16,          2628,              69,              8,     1530,        387,        13
   74,          1630,            1563,             37,       565,         164,         14,          2701,              71,              8,     1550,        391,        13
   75,          1699,            1631,             25,       587,         159,         10,          2775,              71,              6,     1558,        393,         9
   76,          1760,            1691,             20,       600,         166,         11,          2850,              73,              6,     1581,        397,         9
   77,          1806,            1736,             21,       587,         179,          9,          2926,              72,              6,     1596,        400,         8
   78,          1810,            1739,             22,       652,         173,         10,          3003,              73,              6,     1637,        411,         8
   79,          1837,            1765,             21,       644,         176,          9,          3081,              75,              6,     1688,        429,         9
   80,          1879,            1806,             26,       629,         188,          9,          3160,              76,              7,     1699,        428,         9
   81,          1907,            1833,             22,       631,         176,          9,          3240,              73,              7,     1721,        433,         9
   82,          1933,            1858,             22,       657,         186,         10,          3321,              74,              7,     1751,        442,        10
   83,          1936,            1860,             27,       707,         191,         10,          3403,              76,              7,     1784,        452,         9
   84,          1980,            1903,             23,       692,         189,         10,          3486,              79,              8,     1808,        457,         9
   85,          2050,            1972,             24,       676,         191,          9,          3570,              78,              8,     1837,        464,         9
   86,          2053,            1974,             24,       842,         191,         11,          3655,              80,              8,     1864,        472,         9
   87,          2089,            2009,             25,       692,         196,         10,          3741,              83,              8,     1886,        473,         9
   88,          2129,            2048,             38,       753,         205,         10,          3828,              82,              8,     1931,        486,         9
   89,          2191,            2109,             25,       722,         203,         11,          3916,              87,              8,     1951,        491,         9
   90,          2270,            2187,             25,       779,         200,         21,          4005,              87,              8,     1984,        501,         9
   91,          2323,            2239,             28,       768,         214,         10,          4095,              87,              8,     1999,        503,        10
   92,          2333,            2248,             26,       801,         213,         11,          4186,              88,              9,     2057,        522,        11
   93,          2400,            2314,             27,       734,         223,         11,          4278,              90,              9,     2052,        518,        10
   94,          2425,            2338,             44,       820,         219,         11,          4371,              92,              9,     2069,        520,        12
   95,          2454,            2366,             28,       764,         229,         13,          4465,              90,             10,     2097,        528,        16
   96,          2542,            2453,             54,       796,         227,         51,          4560,              89,             12,     2163,        547,        19
   97,          2630,            2540,            298,       852,         232,         15,          4656,              90,             10,     2187,        552,        13
   98,          2695,            2604,             30,       862,         226,         12,          4753,              90,             10,     2198,        554,        11
   99,          2710,            2618,             30,       837,         236,         12,          4851,              94,             10,     2211,        556,        11
  100,          2797,            2704,             33,       950,         231,         14,          4950,              96,             10,     2263,        572,        11
  101,          2811,            2717,             31,       883,         229,         12,          5050,              97,             11,     2288,        577,        11
  102,          2870,            2775,             34,       880,         245,         12,          5151,              99,             12,     2343,        593,        11
  103,          2904,            2808,             34,       891,         235,         12,          5253,             100,             11,     2355,        596,        15
  104,          2979,            2882,             37,       918,         251,         18,          5356,             100,             32,     2381,        602,        21
  105,          3083,            2985,             70,       973,         243,         23,          5460,              99,             15,     2414,        611,        24
  106,          3110,            3011,             72,       905,         251,         24,          5565,             101,             16,     2451,        623,        19
  107,          3199,            3099,             71,       902,         252,         23,          5671,             101,             16,     2443,        617,        19
  108,          3238,            3137,             78,       919,         260,         21,          5778,             103,             15,     2495,        629,        19
  109,          3333,            3231,             44,       929,         253,         21,          5886,             105,             12,     2500,        633,        13
  110,          3372,            3269,             38,       958,         261,         12,          5995,             107,             13,     2510,        635,        12
  111,          3457,            3353,             40,      1061,         256,          7,          6105,             103,             13,     2551,        645,        14
  112,          3568,            3464,             40,      1005,         265,          7,          6216,             108,             13,     2575,        652,        12
  113,          3603,            3498,             41,      1058,         266,          7,          6328,             110,             13,     2632,        666,        12
  114,          3626,            3520,             41,      1025,         270,         16,          6441,             108,             24,     2665,        676,        19
  115,          3738,            3631,             43,      1044,         270,          7,          6555,             109,             14,     2702,        687,        26
  116,          3801,            3693,             42,      1046,         270,          7,          6670,             111,             14,     2725,        691,        12
  117,          3820,            3711,             44,      1018,         278,          7,          6786,             113,             14,     2765,        703,        13
  118,          3912,            3802,             43,      1027,         283,          7,          6903,             116,             14,     2772,        702,        13
  119,          3956,            3845,             44,      1019,         282,          7,          7021,             115,             15,     2789,        707,        13
  120,          4075,            3964,             46,      1027,         292,          7,          7140,             114,             21,     2814,        714,        13
  121,          4103,            3991,             46,      1125,         281,          8,          7260,             117,             15,     2843,        719,        13
  122,          4218,            4105,             48,      1137,         288,          8,          7381,             117,             15,     2885,        731,        13
  123,          4304,            4190,             49,      1066,         303,          8,          7503,             120,             15,     2906,        738,        15
  124,          4321,            4206,             48,      1188,         298,          7,          7626,             120,             16,     2946,        748,        14
  125,          4352,            4236,             56,      1242,         294,          8,          7750,             122,             16,     2973,        754,        14
  126,          4463,            4346,             50,      1153,         309,          9,          7875,             122,             16,     2995,        758,        14
  127,          4564,            4446,             54,      1115,         314,          9,          8001,             122,             17,     3026,        764,        16
  128,          4623,            4504,             78,      1165,         313,         14,          8128,             122,             21,     3047,        770,        32
  129,          4704,            4584,             80,      1248,         309,         11,          8256,             126,             20,     3116,        792,        19
  130,          4824,            4703,             87,      1236,         309,         13,          8385,             127,             27,     3126,        789,        22
  131,          4943,            4821,             97,      1226,         314,         11,          8515,             125,             23,     3167,        803,        45
  132,          5008,            4885,             84,      1175,         328,         12,          8646,             127,             23,     3180,        805,        29
  133,          5087,            4963,             94,      1183,         325,         15,          8778,             129,             22,     3201,        809,        30
  134,          5209,            5084,            108,      1263,         331,         14,          8911,             130,             23,     3218,        810,        25
  135,          5260,            5134,            137,      1250,         327,         16,          9045,             130,             22,     3263,        822,        57
  136,          5282,            5155,             88,      1350,         328,         12,          9180,             131,             37,     3279,        825,        39
  137,          5331,            5203,            181,      1325,         316,         11,          9316,             133,            205,     3304,        833,        39
  138,          5419,            5290,            119,      1240,         335,         16,          9453,             134,             23,     3362,        850,        38
  139,          5421,            5291,            157,      1447,         335,         15,          9591,             135,             26,     3392,        855,        36
  140,          5493,            5362,            126,      1311,         346,         15,          9730,             136,             25,     3440,        868,        36
  141,          5576,            5444,            110,      1283,         337,         16,          9870,             138,             25,     3459,        872,        35
  142,          5714,            5581,            123,      1386,         344,         14,         10011,             135,             26,     3497,        883,        18
  143,          5848,            5714,            129,      1331,         352,         15,         10153,             136,             26,     3535,        892,        18
  144,          5895,            5760,            129,      1391,         354,         18,         10296,             138,             27,     3573,        904,        19
  145,          5993,            5857,            139,      1337,         356,         15,         10440,             139,             44,     3596,        907,        19
  146,          6126,            5989,            136,      1438,         353,         15,         10585,             141,             27,     3651,        923,        19
  147,          6234,            6096,            139,      1374,         362,         15,         10731,             140,             29,     3636,        918,        19
  148,          6305,            6166,            139,      1360,         364,         15,         10878,             142,             29,     3708,        936,        20
  149,          6426,            6286,            144,      1459,         368,         17,         11026,             142,             29,     3689,        930,        20
  150,          6456,            6315,            142,      1508,         361,         15,         11175,             143,             29,     3741,        945,        19
  151,          6597,            6455,            155,      1432,         374,         15,         11325,             145,             31,     3758,        945,        19
  152,          6637,            6494,            155,      1477,         380,         17,         11476,             146,             31,     3798,        958,        21
  153,          6753,            6609,            152,      1445,         370,         16,         11628,             151,             32,     3849,        973,        21
  154,          6786,            6641,            138,      1556,         377,         18,         11781,             149,             31,     3857,        973,        21
  155,          6831,            6685,            149,      1520,         393,         15,         11935,             147,             28,     3916,        989,        19
  156,          6932,            6785,            139,      1648,         402,         16,         12090,             149,             31,     3931,        991,        20
  157,          6942,            6794,            138,      1572,         387,         16,         12246,             152,             31,     3967,       1000,        81
  158,          7034,            6885,            137,      1521,         396,         16,         12403,             155,             31,     4000,       1007,        35
  159,          7080,            6930,            155,      1592,         396,         17,         12561,             156,             31,     4025,       1016,       114
  160,          7164,            7013,            152,      1466,         403,         16,         12720,             155,             32,     4053,       1023,        34
  161,          7184,            7032,            156,      1589,         386,         17,         12880,             156,             34,     4082,       1030,        22
  162,          7212,            7059,            165,      1616,         396,         17,         13041,             157,             33,     4111,       1035,        22
  163,          7370,            7216,            164,      1592,         401,         17,         13203,             158,             40,     4129,       1042,        23
  164,          7450,            7295,            170,      1623,         415,         21,         13366,             155,             38,     4185,       1059,        23
  165,          7518,            7362,            173,      1614,         410,         17,         13530,             158,             35,     4175,       1050,        37
  166,          7531,            7374,            162,      1654,         407,         17,         13695,             156,             45,     4198,       1056,        22
  167,          7665,            7507,            213,      1685,         419,         18,         13861,             159,             34,     4254,       1071,        21
  168,          7706,            7547,            228,      1703,         401,         19,         14028,             161,             34,     4299,       1083,        22
  169,          7869,            7709,            218,      1666,         423,         17,         14196,             163,             36,     4325,       1093,        22
  170,          8020,            7859,            202,      1665,         428,         17,         14365,             163,             35,     4355,       1097,        24
  171,          8059,            7897,            180,      1672,         428,         19,         14535,             169,             36,     4377,       1101,        22
  172,          8230,            8067,            174,      1744,         441,         17,         14706,             167,             37,     4419,       1111,        23
  173,          8277,            8113,            263,      1712,         449,         19,         14878,             169,             37,     4483,       1131,        23
  174,          8284,            8119,            276,      1848,         436,         17,         15051,             171,             38,     4516,       1139,        23
  175,          8424,            8258,            264,      1649,         449,         19,         15225,             172,             39,     4522,       1136,        23
  176,          8540,            8373,            377,      1650,         443,         17,         15400,             167,             38,     4575,       1153,        23
  177,          8671,            8503,            271,      1775,         441,         19,         15576,             175,             38,     4566,       1149,        29
  178,          8716,            8547,            350,      1814,         455,         20,         15753,             175,             41,     4571,       1145,        24
  179,          8880,            8710,            278,      1786,         445,         18,         15931,             172,             41,     4626,       1166,        20
  180,          8931,            8760,            257,      1739,         457,         18,         16110,             172,             46,     4675,       1180,        35
  181,          9031,            8859,            267,      1699,         462,         18,         16290,             173,             41,     4709,       1189,        34
  182,          9080,            8907,            281,      1851,         457,         19,         16471,             173,             42,     4744,       1197,        24
  183,          9160,            8986,            254,      1806,         458,         18,         16653,             176,             41,     4756,       1200,        23
  184,          9288,            9113,            268,      1914,         471,         18,         16836,             177,             42,     4785,       1205,        24
  185,          9450,            9274,            272,      1807,         473,         19,         17020,             178,             53,     4833,       1220,        25
  186,          9606,            9429,             23,      1827,         466,         20,         17205,             181,             43,     4876,       1229,        22
  187,          9741,            9563,             21,      1903,         473,         19,         17391,             179,             42,     4898,       1239,        25
  188,          9829,            9650,             18,      1926,         483,         13,         17578,             184,             36,     4926,       1238,        16
  189,          9859,            9679,             15,      1941,         473,         13,         17766,             181,             37,     4879,       1221,        25
  190,         10010,            9829,             21,      1852,         504,         14,         17955,             185,             37,     4963,       1247,        17
  191,         10168,            9986,             15,      1876,         483,         12,         18145,             188,             37,     5026,       1266,        15
  192,         10315,           10132,             29,      1960,         483,         11,         18336,             184,             37,     5077,       1280,        15
  193,         10352,           10168,             15,      2044,         479,         12,         18528,             188,             37,     5082,       1280,        15
  194,         10534,           10349,             15,      2106,         483,         20,         18721,             187,             42,     5113,       1289,        22
  195,         10612,           10426,             21,      1957,         492,         19,         18915,             190,             43,     5156,       1302,        25
  196,         10798,           10611,             22,      2002,         499,         19,         19110,             193,             44,     5143,       1293,        25
  197,         10805,           10617,             22,      2178,         487,         19,         19306,             193,            625,     5213,       1317,        27
  198,         10912,           10723,             25,      2004,         519,         24,         19503,             193,             49,     5234,       1319,        27
  199,         11104,           10914,             25,      1997,         510,         20,         19701,             192,             49,     5271,       1330,        21
  200,         11188,           10997,             23,      2003,         527,        137,         19900,             197,             47,     5292,       1333,        63
  201,         11295,           11103,             24,      2084,         530,         20,         20100,             189,             51,     5357,       1353,        25
  202,         11493,           11300,            116,      1990,         518,         25,         20301,             194,             51,     5360,       1350,        19
  203,         11670,           11476,             30,      2060,         532,         21,         20503,             196,             46,     5398,       1362,        19
  204,         11773,           11578,             19,      2119,         519,         14,         20706,             198,             47,     5440,       1372,        18
  205,         11853,           11657,             19,      2031,         525,         15,         20910,             201,             47,     5505,       1393,        18
  206,         12038,           11841,             93,      2100,         520,         14,         21115,             199,             48,     5509,       1387,        18
  207,         12240,           12042,             19,      2147,         557,         15,         21321,             204,             49,     5567,       1404,        19
  208,         12431,           12232,             20,      2131,         543,         15,         21528,             196,             49,     5575,       1406,        19
  209,         12616,           12416,             20,      2201,         544,         16,         21736,             200,             49,     5605,       1412,        18
  210,         12629,           12428,             20,      2253,         541,         14,         21945,             202,             49,     5662,       1428,        19
  211,         12811,           12609,             20,      2168,         541,         15,         22155,             209,             51,     5687,       1433,        19
  212,         12986,           12783,             21,      2205,         557,         15,         22366,             207,             51,     5736,       1447,        19
  213,         13085,           12881,             20,      2200,         556,         16,         22578,             203,             51,     5746,       1449,        19
  214,         13298,           13094,             21,      2448,         550,         15,         22791,             206,             52,     5808,       1466,        19
  215,         13479,           13274,             21,      2173,         554,         14,         23005,             208,             50,     5858,       1480,        18
  216,         13501,           13295,             21,      2368,         556,         15,         23220,             211,             51,     5882,       1487,        19
  217,         13520,           13313,             31,      2307,         561,         24,         23436,             211,             59,     5883,       1483,        30
