   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
   0,             0,               0,              1,         0,           0,          0,             0,               0,              0,        2,          0,         1
   1,             0,               0,              0,         0,           0,          0,             0,               0,              0,        2,          0,         1
   2,             1,               0,              0,         1,           2,         21,             1,               0,              0,        9,          2,         1
   3,             3,               1,              5,         3,           2,          1,             3,               1,              8,       13,          3,         1
   4,             4,               1,              0,         6,           4,          2,             6,               1,              0,       27,          7,         7
   5,             8,               4,              0,         8,           4,          2,            10,               2,              0,       38,         10,         3
   6,            11,               6,              1,        12,           9,         12,            15,               2,              1,       48,         12,         3
   7,            16,              10,              1,        18,          11,          4,            21,               4,              1,       55,         14,         2
   8,            20,              13,              0,        21,          12,          2,            28,               5,              1,       75,         19,         2
   9,            26,              18,              0,        26,          12,         21,            36,               6,              1,       93,         24,         2
  10,            28,              19,              0,        33,          14,          8,            45,               7,              1,      111,         29,         2
  11,            30,              20,              0,        39,          15,          1,            55,               8,              1,      124,         32,         2
  12,            33,              22,              0,        41,          17,          1,            66,               8,              1,      147,         38,         3
  13,            34,              22,              0,        53,          19,          1,            78,               8,              2,      163,         42,         3
  14,            42,              29,              1,        52,          21,          2,            91,               9,              1,      175,         45,         2
  15,            51,              37,              1,        61,          24,          2,           105,              11,              2,      187,         49,         4
  16,            62,              47,              2,        63,          26,          5,           120,              13,              3,      206,         53,         4
  17,            78,              62,              3,        80,          28,          7,           136,              12,              3,      217,         56,         6
  18,            91,              74,              3,        77,          34,          5,           153,              16,              4,      241,         62,         8
  19,            96,              78,              1,        93,          35,          3,           171,              16,              2,      257,         66,         3
  20,           110,              91,              1,        96,          37,          2,           190,              17,              2,      269,         69,         3
  21,           128,             108,              2,       110,          35,          3,           210,              18,              3,      297,         78,         3
  22,           131,             110,              2,       115,          39,          2,           231,              18,              3,      319,         84,         3
  23,           132,             110,              2,       137,          41,          4,           253,              18,              3,      333,         86,         3
  24,           154,             131,              2,       118,          37,         12,           276,              19,              3,      367,         95,         3
  25,           176,             152,              2,       152,          40,          3,           300,              16,              3,      388,        100,         3
  26,           189,             164,              2,       140,          44,          3,           325,              20,              3,      402,        102,         3
  27,           213,             187,              3,       153,          47,          3,           351,              21,              4,      415,        105,         3
  28,           235,             208,              3,       159,          53,          3,           378,              24,              4,      446,        114,         3
  29,           250,             222,              3,       168,          58,          3,           406,              26,              4,      465,        118,         3
  30,           266,             237,              3,       174,          59,          4,           435,              27,              4,      479,        121,         8
  31,           275,             245,              6,       181,          60,          7,           465,              27,             82,      492,        123,         7
  32,           286,             255,              7,       179,          64,          7,           496,              29,              9,      521,        131,        11
  33,           312,             280,              8,       210,          62,         18,           528,              30,             10,      542,        138,        10
  34,           342,             309,              6,       211,          64,          5,           561,              27,              6,      558,        141,         5
  35,           373,             339,              5,       216,          66,          4,           595,              31,              6,      573,        143,         5
  36,           385,             350,              8,       229,          73,          6,           630,              32,             12,      602,        152,         7
  37,           414,             378,              9,       231,          76,          6,           666,              32,             12,      627,        160,         7
  38,           437,             400,             10,       231,          79,          5,           703,              32,              8,      643,        160,         5
  39,           457,             419,              9,       248,          74,          5,           741,              35,              8,      681,        173,         5
  40,           482,             443,              9,       244,          78,          7,           780,              37,             15,      696,        177,         8
  41,           513,             473,             11,       257,          77,         10,           820,              37,             15,      710,        181,         8
  42,           535,             494,             89,       272,          85,         10,           861,              36,             15,      744,        190,         9
  43,           573,             531,             13,       281,          86,          7,           903,              39,             56,      777,        199,         5
  44,           580,             537,              7,       318,          87,          5,           946,              39,              9,      771,        195,         7
  45,           618,             574,              7,       313,          92,         10,           990,              40,             18,      795,        200,         9
