  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
  0,             0,               0,              1,         0,           0,          0,             0,               0,              0,        2,          0,         1
  1,             0,               0,              0,         0,           0,          1,             0,               0,              0,        2,          0,         1
  2,             1,               1,              1,         2,           2,          3,             1,               1,              1,        7,          1,         1
  3,             2,               1,              0,         4,           4,          4,             3,               1,              1,       13,          3,        14
  4,             4,               2,              1,         6,           4,          3,             6,               2,              1,       24,          6,         1
  5,             5,               2,              1,        10,           6,          5,            10,               2,              2,       37,         10,         2
  6,            10,               6,              3,        11,           6,         11,            15,               4,              3,       47,         12,         5
  7,            13,               8,              3,        18,          10,         35,            21,               4,              4,       55,         14,        13
  8,            20,              15,              3,        21,          13,         15,            28,               5,              3,       75,         19,         6
  9,            26,              20,              6,        26,          15,         13,            36,               6,              4,       83,         20,         4
 10,            34,              27,              2,        35,          17,         19,            45,               7,              3,       95,         23,         2
 11,            40,              32,              2,        42,          18,          7,            55,               8,              3,      114,         28,         2
 12,            44,              35,              3,        45,          21,          8,            66,               9,              4,      131,         33,         3
 13,            55,              45,              3,        46,          21,          9,            78,               9,              4,      140,         35,         3
 14,            59,              48,              3,        60,          25,         13,            91,              10,              6,      153,         38,         3
 15,            67,              55,              4,        59,          26,          9,           105,              11,              5,      170,         43,         3
 16,            70,              57,              5,        69,          27,         10,           120,              13,              5,      204,         53,         4
 17,            83,              69,              4,        70,          30,         14,           136,              11,              6,      218,         55,         4
 18,            92,              77,              5,        79,          30,         22,           153,              11,             13,      241,         61,         4
 19,            95,              79,              5,        98,          35,         27,           171,              11,              7,      256,         65,         5
 20,           114,              98,              6,       110,          31,         13,           190,              16,             12,      282,         72,         7
 21,           133,             116,             13,        97,          35,         23,           210,              16,             27,      294,         74,        10
 22,           154,             136,             14,       103,          40,         25,           231,              18,             16,      303,         76,         9
 23,           168,             149,              9,       115,          39,         13,           253,              21,             12,      323,         81,         8
 24,           182,             162,             11,       123,          45,         19,           276,              22,             11,      347,         88,         5
 25,           198,             177,             10,       129,          51,         15,           300,              21,             12,      366,         93,         6
 26,           211,             189,             10,       135,          52,         15,           325,              23,             14,      394,        101,         6
 27,           235,             212,             14,       152,          53,         20,           351,              24,             14,      402,        102,         6
 28,           241,             217,             12,       159,          53,         17,           378,              23,             14,      423,        107,         6
 29,           248,             223,             13,       166,          56,         15,           406,              25,             16,      434,        109,         6
 30,           255,             229,             12,       176,          57,         16,           435,              27,             16,      456,        115,        13
 31,           268,             241,             14,       174,          67,         35,           465,              27,             31,      476,        121,        12
 32,           280,             252,             26,       170,          58,         32,           496,              26,             24,      511,        130,        13
 33,           293,             264,             16,       181,          62,         17,           528,              26,             21,      532,        136,         7
 34,           321,             291,             16,       211,          68,         20,           561,              31,             20,      564,        143,         7
 35,           329,             298,             16,       216,          72,         37,           595,              32,             22,      585,        148,        16
 36,           357,             325,             19,       207,          73,         22,           630,              31,             23,      604,        153,         8
 37,           386,             353,             20,       209,          70,         24,           666,              31,             23,      620,        157,         8
 38,           415,             381,             36,       232,          72,         63,           703,              33,             40,      633,        159,        16
 39,           419,             384,             34,       275,          79,         35,           741,              34,             42,      664,        168,        14
 40,           458,             423,             50,       268,          78,         35,           780,              37,             48,      689,        173,        15
 41,           486,             450,             46,       244,          81,         35,           820,              40,             47,      708,        178,        16
 42,           508,             471,             48,       276,          90,         36,           861,              37,             50,      730,        183,        35
 43,           538,             500,             44,       272,          87,         47,           903,              36,             48,      767,        194,        22
 44,           544,             505,             38,       289,          90,         43,           946,              39,             56,      799,        203,        34
 45,           558,             518,             44,       300,          96,         44,           990,              42,             55,      827,        212,        17
 46,           580,             539,             41,       324,          95,         39,          1035,              43,             57,      839,        213,        16
 47,           610,             568,             42,       316,         106,         41,          1081,              44,             61,      859,        218,        20
 48,           635,             592,             45,       312,          97,         40,          1128,              40,             66,      895,        228,        18
 49,           677,             633,             45,       331,         103,         20,          1176,              41,             65,      916,        233,        20
 50,           716,             671,             47,       365,         101,         12,          1225,              47,             78,      943,        241,        19
 51,           726,             680,             50,       357,         105,         11,          1275,              48,             69,      957,        244,        21
 52,           729,             682,            171,       427,         105,         78,          1326,              50,            181,      994,        254,        27
 53,           748,             700,            121,       341,         117,          9,          1378,              52,             46,     1025,        264,        12
 54,           800,             751,             35,       403,         112,         10,          1431,              47,            138,     1044,        267,        11
 55,           848,             798,             38,       370,         114,          6,          1485,              48,             51,     1062,        272,        13
 56,           884,             833,             39,       368,         117,          6,          1540,              53,             51,     1084,        277,        12
 57,           908,             856,             40,       395,         120,          7,          1596,              52,             52,     1089,        276,        12
 58,           949,             896,             42,       412,         127,          7,          1653,              54,             55,     1137,        290,        17
 59,          1007,             953,             45,       408,         128,         12,          1711,              57,             94,     1164,        295,        25
 60,          1018,             963,             91,       415,         126,         84,          1770,              57,             94,     1193,        305,        24
 61,          1067,            1011,             63,       409,         123,          7,          1830,              55,             61,     1214,        309,        23
 62,          1098,            1041,             49,       463,         137,          9,          1891,              55,             62,     1233,        313,        13
 63,          1105,            1047,             48,       486,         132,          7,          1953,              57,             77,     1255,        319,        14
 64,          1129,            1070,            123,       462,         137,         13,          2016,              58,            126,     1269,        322,        26
